source,target,category
Emil von Behring,Medicine,Medicine
Emil von Behring,Europe,Medicine
Jacobus H. van 't Hoff,Chemistry,Chemistry
Jacobus H. van 't Hoff,Europe,Chemistry
Sully Prudhomme,Literature,Literature
Sully Prudhomme,,Literature
Henry Dunant,Peace,Peace
Henry Dunant,,Peace
Wilhelm Conrad Röntgen,Physics,Physics
Wilhelm Conrad Röntgen,Europe,Physics
Frédéric Passy,Peace,Peace
Frédéric Passy,,Peace
Hendrik A. Lorentz,Physics,Physics
Hendrik A. Lorentz,Europe,Physics
Theodor Mommsen,Literature,Literature
Theodor Mommsen,,Literature
Albert Gobat,Peace,Peace
Albert Gobat,,Peace
Pieter Zeeman,Physics,Physics
Pieter Zeeman,Europe,Physics
Ronald Ross,Medicine,Medicine
Ronald Ross,Europe,Medicine
Élie Ducommun,Peace,Peace
Élie Ducommun,,Peace
Emil Fischer,Chemistry,Chemistry
Emil Fischer,Europe,Chemistry
Randal Cremer,Peace,Peace
Randal Cremer,,Peace
Pierre Curie,Physics,Physics
Pierre Curie,Europe,Physics
Henri Becquerel,Physics,Physics
Henri Becquerel,Europe,Physics
Svante Arrhenius,Chemistry,Chemistry
Svante Arrhenius,Europe,Chemistry
Bjørnstjerne Bjørnson,Literature,Literature
Bjørnstjerne Bjørnson,,Literature
Niels Ryberg Finsen,Medicine,Medicine
Niels Ryberg Finsen,Europe,Medicine
Marie Curie,Physics,Physics
Marie Curie,,Physics
Lord Rayleigh,Physics,Physics
Lord Rayleigh,Europe,Physics
Frédéric Mistral,Literature,Literature
Frédéric Mistral,,Literature
José Echegaray,Literature,Literature
José Echegaray,,Literature
Sir William Ramsay,Chemistry,Chemistry
Sir William Ramsay,Europe,Chemistry
Ivan Pavlov,Medicine,Medicine
Ivan Pavlov,Russia,Medicine
Robert Koch,Medicine,Medicine
Robert Koch,Europe,Medicine
Henryk Sienkiewicz,Literature,Literature
Henryk Sienkiewicz,,Literature
Adolf von Baeyer,Chemistry,Chemistry
Adolf von Baeyer,Europe,Chemistry
Philipp Lenard,Physics,Physics
Philipp Lenard,Europe,Physics
Bertha von Suttner,Peace,Peace
Bertha von Suttner,,Peace
Giosuè Carducci,Literature,Literature
Giosuè Carducci,,Literature
Henri Moissan,Chemistry,Chemistry
Henri Moissan,Europe,Chemistry
Theodore Roosevelt,Peace,Peace
Theodore Roosevelt,,Peace
Santiago Ramón y Cajal,Medicine,Medicine
Santiago Ramón y Cajal,Europe,Medicine
Camillo Golgi,Medicine,Medicine
Camillo Golgi,Europe,Medicine
J.J. Thomson,Physics,Physics
J.J. Thomson,Europe,Physics
Ernesto Teodoro Moneta,Peace,Peace
Ernesto Teodoro Moneta,,Peace
Albert A. Michelson,Physics,Physics
Albert A. Michelson,North America,Physics
Louis Renault,Peace,Peace
Louis Renault,Europe,Peace
Rudyard Kipling,Literature,Literature
Rudyard Kipling,,Literature
Eduard Buchner,Chemistry,Chemistry
Eduard Buchner,Europe,Chemistry
Alphonse Laveran,Medicine,Medicine
Alphonse Laveran,Europe,Medicine
Ernest Rutherford,Chemistry,Chemistry
Ernest Rutherford,Europe,Chemistry
Fredrik Bajer,Peace,Peace
Fredrik Bajer,,Peace
Ilya Mechnikov,Medicine,Medicine
Ilya Mechnikov,Europe,Medicine
Paul Ehrlich,Medicine,Medicine
Paul Ehrlich,Europe,Medicine
Rudolf Eucken,Literature,Literature
Rudolf Eucken,,Literature
Gabriel Lippmann,Physics,Physics
Gabriel Lippmann,Europe,Physics
Klas Pontus Arnoldson,Peace,Peace
Klas Pontus Arnoldson,,Peace
Theodor Kocher,Medicine,Medicine
Theodor Kocher,Europe,Medicine
Paul Henri d'Estournelles de Constant,Peace,Peace
Paul Henri d'Estournelles de Constant,,Peace
Wilhelm Ostwald,Chemistry,Chemistry
Wilhelm Ostwald,Europe,Chemistry
Auguste Beernaert,Peace,Peace
Auguste Beernaert,,Peace
Ferdinand Braun,Physics,Physics
Ferdinand Braun,Europe,Physics
Guglielmo Marconi,Physics,Physics
Guglielmo Marconi,Europe,Physics
Selma Lagerlöf,Literature,Literature
Selma Lagerlöf,,Literature
Johannes Diderik van der Waals,Physics,Physics
Johannes Diderik van der Waals,Europe,Physics
Otto Wallach,Chemistry,Chemistry
Otto Wallach,Europe,Chemistry
Albrecht Kossel,Medicine,Medicine
Albrecht Kossel,Europe,Medicine
Paul Heyse,Literature,Literature
Paul Heyse,,Literature
Tobias Asser,Peace,Peace
Tobias Asser,,Peace
Wilhelm Wien,Physics,Physics
Wilhelm Wien,Europe,Physics
Maurice Maeterlinck,Literature,Literature
Maurice Maeterlinck,,Literature
Marie Curie,Chemistry,Chemistry
Marie Curie,Europe,Chemistry
Alfred Fried,Peace,Peace
Alfred Fried,,Peace
Allvar Gullstrand,Medicine,Medicine
Allvar Gullstrand,Europe,Medicine
Victor Grignard,Chemistry,Chemistry
Victor Grignard,Europe,Chemistry
Gustaf Dalén,Physics,Physics
Gustaf Dalén,Europe,Physics
Gerhart Hauptmann,Literature,Literature
Gerhart Hauptmann,,Literature
Elihu Root,Peace,Peace
Elihu Root,,Peace
Alexis Carrel,Medicine,Medicine
Alexis Carrel,North America,Medicine
Paul Sabatier,Chemistry,Chemistry
Paul Sabatier,Europe,Chemistry
Rabindranath Tagore,Literature,Literature
Rabindranath Tagore,,Literature
Henri La Fontaine,Peace,Peace
Henri La Fontaine,,Peace
Charles Richet,Medicine,Medicine
Charles Richet,Europe,Medicine
Alfred Werner,Chemistry,Chemistry
Alfred Werner,Europe,Chemistry
Heike Kamerlingh Onnes,Physics,Physics
Heike Kamerlingh Onnes,Europe,Physics
Max von Laue,Physics,Physics
Max von Laue,Europe,Physics
Theodore W. Richards,Chemistry,Chemistry
Theodore W. Richards,North America,Chemistry
Robert Bárány,Medicine,Medicine
Robert Bárány,Europe,Medicine
Richard Willstätter,Chemistry,Chemistry
Richard Willstätter,Europe,Chemistry
Romain Rolland,Literature,Literature
Romain Rolland,,Literature
William Bragg,Physics,Physics
William Bragg,Europe,Physics
Lawrence Bragg,Physics,Physics
Lawrence Bragg,Europe,Physics
Verner von Heidenstam,Literature,Literature
Verner von Heidenstam,,Literature
Karl Gjellerup,Literature,Literature
Karl Gjellerup,,Literature
Henrik Pontoppidan,Literature,Literature
Henrik Pontoppidan,,Literature
Charles Glover Barkla,Physics,Physics
Charles Glover Barkla,Europe,Physics
Fritz Haber,Chemistry,Chemistry
Fritz Haber,Europe,Chemistry
Max Planck,Physics,Physics
Max Planck,Europe,Physics
Johannes Stark,Physics,Physics
Johannes Stark,Europe,Physics
Jules Bordet,Medicine,Medicine
Jules Bordet,Europe,Medicine
Carl Spitteler,Literature,Literature
Carl Spitteler,,Literature
Woodrow Wilson,Peace,Peace
Woodrow Wilson,,Peace
Léon Bourgeois,Peace,Peace
Léon Bourgeois,,Peace
Walther Nernst,Chemistry,Chemistry
Walther Nernst,Europe,Chemistry
Charles Edouard Guillaume,Physics,Physics
Charles Edouard Guillaume,Europe,Physics
Knut Hamsun,Literature,Literature
Knut Hamsun,,Literature
August Krogh,Medicine,Medicine
August Krogh,Europe,Medicine
Albert Einstein,Physics,Physics
Albert Einstein,Europe,Physics
Hjalmar Branting,Peace,Peace
Hjalmar Branting,,Peace
Anatole France,Literature,Literature
Anatole France,,Literature
Frederick Soddy,Chemistry,Chemistry
Frederick Soddy,Europe,Chemistry
Christian Lange,Peace,Peace
Christian Lange,,Peace
Fridtjof Nansen,Peace,Peace
Fridtjof Nansen,,Peace
Niels Bohr,Physics,Physics
Niels Bohr,Europe,Physics
Francis W. Aston,Chemistry,Chemistry
Francis W. Aston,Europe,Chemistry
Jacinto Benavente,Literature,Literature
Jacinto Benavente,,Literature
Otto Meyerhof,Medicine,Medicine
Otto Meyerhof,Europe,Medicine
Archibald V. Hill,Medicine,Medicine
Archibald V. Hill,Europe,Medicine
John Macleod,Medicine,Medicine
John Macleod,North America,Medicine
Fritz Pregl,Chemistry,Chemistry
Fritz Pregl,Europe,Chemistry
Frederick G. Banting,Medicine,Medicine
Frederick G. Banting,North America,Medicine
William Butler Yeats,Literature,Literature
William Butler Yeats,,Literature
Robert A. Millikan,Physics,Physics
Robert A. Millikan,North America,Physics
Manne Siegbahn,Physics,Physics
Manne Siegbahn,Europe,Physics
Willem Einthoven,Medicine,Medicine
Willem Einthoven,Europe,Medicine
Wladyslaw Reymont,Literature,Literature
Wladyslaw Reymont,,Literature
Sir Austen Chamberlain,Peace,Peace
Sir Austen Chamberlain,,Peace
George Bernard Shaw,Literature,Literature
George Bernard Shaw,,Literature
Gustav Hertz,Physics,Physics
Gustav Hertz,Europe,Physics
Charles G. Dawes,Peace,Peace
Charles G. Dawes,,Peace
James Franck,Physics,Physics
James Franck,Europe,Physics
Richard Zsigmondy,Chemistry,Chemistry
Richard Zsigmondy,Europe,Chemistry
The Svedberg,Chemistry,Chemistry
The Svedberg,Europe,Chemistry
Grazia Deledda,Literature,Literature
Grazia Deledda,,Literature
Gustav Stresemann,Peace,Peace
Gustav Stresemann,,Peace
Aristide Briand,Peace,Peace
Aristide Briand,,Peace
Jean Baptiste Perrin,Physics,Physics
Jean Baptiste Perrin,Europe,Physics
Johannes Fibiger,Medicine,Medicine
Johannes Fibiger,Europe,Medicine
Ferdinand Buisson,Peace,Peace
Ferdinand Buisson,,Peace
Arthur H. Compton,Physics,Physics
Arthur H. Compton,North America,Physics
Julius Wagner-Jauregg,Medicine,Medicine
Julius Wagner-Jauregg,Europe,Medicine
Heinrich Wieland,Chemistry,Chemistry
Heinrich Wieland,Europe,Chemistry
Henri Bergson,Literature,Literature
Henri Bergson,,Literature
C.T.R. Wilson,Physics,Physics
C.T.R. Wilson,Europe,Physics
Ludwig Quidde,Peace,Peace
Ludwig Quidde,,Peace
Owen Willans Richardson,Physics,Physics
Owen Willans Richardson,Europe,Physics
Adolf Windaus,Chemistry,Chemistry
Adolf Windaus,Europe,Chemistry
Sigrid Undset,Literature,Literature
Sigrid Undset,,Literature
Charles Nicolle,Medicine,Medicine
Charles Nicolle,Tunisia,Medicine
Frank B. Kellogg,Peace,Peace
Frank B. Kellogg,,Peace
Arthur Harden,Chemistry,Chemistry
Arthur Harden,Europe,Chemistry
Sir Frederick Hopkins,Medicine,Medicine
Sir Frederick Hopkins,Europe,Medicine
Thomas Mann,Literature,Literature
Thomas Mann,,Literature
Hans von Euler-Chelpin,Chemistry,Chemistry
Hans von Euler-Chelpin,Europe,Chemistry
Christiaan Eijkman,Medicine,Medicine
Christiaan Eijkman,Europe,Medicine
Louis de Broglie,Physics,Physics
Louis de Broglie,Europe,Physics
Sinclair Lewis,Literature,Literature
Sinclair Lewis,,Literature
Hans Fischer,Chemistry,Chemistry
Hans Fischer,Europe,Chemistry
Nathan Söderblom,Peace,Peace
Nathan Söderblom,,Peace
Sir Chandrasekhara Venkata Raman,Physics,Physics
Sir Chandrasekhara Venkata Raman,India,Physics
Karl Landsteiner,Medicine,Medicine
Karl Landsteiner,North America,Medicine
Friedrich Bergius,Chemistry,Chemistry
Friedrich Bergius,Europe,Chemistry
Otto Warburg,Medicine,Medicine
Otto Warburg,Europe,Medicine
Nicholas Murray Butler,Peace,Peace
Nicholas Murray Butler,North America,Peace
Jane Addams,Peace,Peace
Jane Addams,,Peace
Erik Axel Karlfeldt,Literature,Literature
Erik Axel Karlfeldt,,Literature
Carl Bosch,Chemistry,Chemistry
Carl Bosch,Europe,Chemistry
John Galsworthy,Literature,Literature
John Galsworthy,,Literature
Werner Heisenberg,Physics,Physics
Werner Heisenberg,Europe,Physics
Irving Langmuir,Chemistry,Chemistry
Irving Langmuir,North America,Chemistry
Edgar Adrian,Medicine,Medicine
Edgar Adrian,Europe,Medicine
Sir Charles Sherrington,Medicine,Medicine
Sir Charles Sherrington,Europe,Medicine
Sir Norman Angell,Peace,Peace
Sir Norman Angell,,Peace
Ivan Bunin,Literature,Literature
Ivan Bunin,,Literature
Thomas H. Morgan,Medicine,Medicine
Thomas H. Morgan,North America,Medicine
Erwin Schrödinger,Physics,Physics
Erwin Schrödinger,Europe,Physics
Paul A.M. Dirac,Physics,Physics
Paul A.M. Dirac,Europe,Physics
George R. Minot,Medicine,Medicine
George R. Minot,North America,Medicine
William P. Murphy,Medicine,Medicine
William P. Murphy,North America,Medicine
Harold C. Urey,Chemistry,Chemistry
Harold C. Urey,North America,Chemistry
George H. Whipple,Medicine,Medicine
George H. Whipple,North America,Medicine
Luigi Pirandello,Literature,Literature
Luigi Pirandello,,Literature
Arthur Henderson,Peace,Peace
Arthur Henderson,,Peace
Frédéric Joliot,Chemistry,Chemistry
Frédéric Joliot,Europe,Chemistry
Irène Joliot-Curie,Chemistry,Chemistry
Irène Joliot-Curie,Europe,Chemistry
James Chadwick,Physics,Physics
James Chadwick,Europe,Physics
Carl von Ossietzky,Peace,Peace
Carl von Ossietzky,,Peace
Hans Spemann,Medicine,Medicine
Hans Spemann,Europe,Medicine
Peter Debye,Chemistry,Chemistry
Peter Debye,Europe,Chemistry
Victor F. Hess,Physics,Physics
Victor F. Hess,Europe,Physics
Carlos Saavedra Lamas,Peace,Peace
Carlos Saavedra Lamas,,Peace
Otto Loewi,Medicine,Medicine
Otto Loewi,Europe,Medicine
Carl D. Anderson,Physics,Physics
Carl D. Anderson,North America,Physics
Sir Henry Dale,Medicine,Medicine
Sir Henry Dale,Europe,Medicine
Eugene O'Neill,Literature,Literature
Eugene O'Neill,,Literature
Paul Karrer,Chemistry,Chemistry
Paul Karrer,Europe,Chemistry
George Paget Thomson,Physics,Physics
George Paget Thomson,Europe,Physics
"Robert Cecil, Viscount Cecil of Chelwood",Peace,Peace
"Robert Cecil, Viscount Cecil of Chelwood",,Peace
Clinton Davisson,Physics,Physics
Clinton Davisson,North America,Physics
Roger Martin du Gard,Literature,Literature
Roger Martin du Gard,,Literature
Norman Haworth,Chemistry,Chemistry
Norman Haworth,Europe,Chemistry
Albert Szent-Györgyi,Medicine,Medicine
Albert Szent-Györgyi,Europe,Medicine
Enrico Fermi,Physics,Physics
Enrico Fermi,Europe,Physics
Corneille Heymans,Medicine,Medicine
Corneille Heymans,Europe,Medicine
Pearl Buck,Literature,Literature
Pearl Buck,,Literature
Richard Kuhn,Chemistry,Chemistry
Richard Kuhn,Europe,Chemistry
Gerhard Domagk,Medicine,Medicine
Gerhard Domagk,Europe,Medicine
Leopold Ruzicka,Chemistry,Chemistry
Leopold Ruzicka,Europe,Chemistry
Frans Eemil Sillanpää,Literature,Literature
Frans Eemil Sillanpää,,Literature
Ernest Lawrence,Physics,Physics
Ernest Lawrence,North America,Physics
Adolf Butenandt,Chemistry,Chemistry
Adolf Butenandt,Europe,Chemistry
Edward A. Doisy,Medicine,Medicine
Edward A. Doisy,North America,Medicine
Henrik Dam,Medicine,Medicine
Henrik Dam,Europe,Medicine
Otto Stern,Physics,Physics
Otto Stern,North America,Physics
George de Hevesy,Chemistry,Chemistry
George de Hevesy,Europe,Chemistry
Otto Hahn,Chemistry,Chemistry
Otto Hahn,Europe,Chemistry
Johannes V. Jensen,Literature,Literature
Johannes V. Jensen,,Literature
Isidor Isaac Rabi,Physics,Physics
Isidor Isaac Rabi,North America,Physics
Herbert S. Gasser,Medicine,Medicine
Herbert S. Gasser,North America,Medicine
Joseph Erlanger,Medicine,Medicine
Joseph Erlanger,North America,Medicine
Sir Alexander Fleming,Medicine,Medicine
Sir Alexander Fleming,Europe,Medicine
Cordell Hull,Peace,Peace
Cordell Hull,,Peace
Wolfgang Pauli,Physics,Physics
Wolfgang Pauli,North America,Physics
Sir Howard Florey,Medicine,Medicine
Sir Howard Florey,Europe,Medicine
Gabriela Mistral,Literature,Literature
Gabriela Mistral,,Literature
Artturi Virtanen,Chemistry,Chemistry
Artturi Virtanen,Europe,Chemistry
Ernst B. Chain,Medicine,Medicine
Ernst B. Chain,Europe,Medicine
Wendell M. Stanley,Chemistry,Chemistry
Wendell M. Stanley,North America,Chemistry
James B. Sumner,Chemistry,Chemistry
James B. Sumner,North America,Chemistry
John H. Northrop,Chemistry,Chemistry
John H. Northrop,North America,Chemistry
Hermann J. Muller,Medicine,Medicine
Hermann J. Muller,North America,Medicine
Hermann Hesse,Literature,Literature
Hermann Hesse,,Literature
John R. Mott,Peace,Peace
John R. Mott,,Peace
Emily Greene Balch,Peace,Peace
Emily Greene Balch,,Peace
Percy W. Bridgman,Physics,Physics
Percy W. Bridgman,North America,Physics
André Gide,Literature,Literature
André Gide,,Literature
Bernardo Houssay,Medicine,Medicine
Bernardo Houssay,Argentina,Medicine
Sir Robert Robinson,Chemistry,Chemistry
Sir Robert Robinson,Europe,Chemistry
Carl Cori,Medicine,Medicine
Carl Cori,North America,Medicine
Edward V. Appleton,Physics,Physics
Edward V. Appleton,Europe,Physics
Gerty Cori,Medicine,Medicine
Gerty Cori,North America,Medicine
T.S. Eliot,Literature,Literature
T.S. Eliot,,Literature
Patrick M.S. Blackett,Physics,Physics
Patrick M.S. Blackett,Europe,Physics
Paul Müller,Medicine,Medicine
Paul Müller,Europe,Medicine
Arne Tiselius,Chemistry,Chemistry
Arne Tiselius,Europe,Chemistry
William F. Giauque,Chemistry,Chemistry
William F. Giauque,North America,Chemistry
Hideki Yukawa,Physics,Physics
Hideki Yukawa,Japan,Physics
Lord Boyd Orr,Peace,Peace
Lord Boyd Orr,,Peace
Egas Moniz,Medicine,Medicine
Egas Moniz,Europe,Medicine
William Faulkner,Literature,Literature
William Faulkner,,Literature
Walter Hess,Medicine,Medicine
Walter Hess,Europe,Medicine
Bertrand Russell,Literature,Literature
Bertrand Russell,,Literature
Edward C. Kendall,Medicine,Medicine
Edward C. Kendall,North America,Medicine
Tadeus Reichstein,Medicine,Medicine
Tadeus Reichstein,Europe,Medicine
Otto Diels,Chemistry,Chemistry
Otto Diels,Europe,Chemistry
Philip S. Hench,Medicine,Medicine
Philip S. Hench,North America,Medicine
Kurt Alder,Chemistry,Chemistry
Kurt Alder,Europe,Chemistry
Ralph Bunche,Peace,Peace
Ralph Bunche,North America,Peace
Cecil Powell,Physics,Physics
Cecil Powell,Europe,Physics
Max Theiler,Medicine,Medicine
Max Theiler,North America,Medicine
Pär Lagerkvist,Literature,Literature
Pär Lagerkvist,,Literature
John Cockcroft,Physics,Physics
John Cockcroft,Europe,Physics
Ernest T.S. Walton,Physics,Physics
Ernest T.S. Walton,Europe,Physics
Glenn T. Seaborg,Chemistry,Chemistry
Glenn T. Seaborg,North America,Chemistry
Léon Jouhaux,Peace,Peace
Léon Jouhaux,,Peace
Edwin M. McMillan,Chemistry,Chemistry
Edwin M. McMillan,North America,Chemistry
E. M. Purcell,Physics,Physics
E. M. Purcell,North America,Physics
Albert Schweitzer,Peace,Peace
Albert Schweitzer,,Peace
Archer J.P. Martin,Chemistry,Chemistry
Archer J.P. Martin,Europe,Chemistry
Selman A. Waksman,Medicine,Medicine
Selman A. Waksman,North America,Medicine
François Mauriac,Literature,Literature
François Mauriac,,Literature
Felix Bloch,Physics,Physics
Felix Bloch,North America,Physics
Richard L.M. Synge,Chemistry,Chemistry
Richard L.M. Synge,Europe,Chemistry
Winston Churchill,Literature,Literature
Winston Churchill,,Literature
Hermann Staudinger,Chemistry,Chemistry
Hermann Staudinger,Europe,Chemistry
Fritz Lipmann,Medicine,Medicine
Fritz Lipmann,North America,Medicine
Hans Krebs,Medicine,Medicine
Hans Krebs,Europe,Medicine
Frits Zernike,Physics,Physics
Frits Zernike,Europe,Physics
George C. Marshall,Peace,Peace
George C. Marshall,,Peace
Max Born,Physics,Physics
Max Born,Europe,Physics
Thomas H. Weller,Medicine,Medicine
Thomas H. Weller,North America,Medicine
John F. Enders,Medicine,Medicine
John F. Enders,North America,Medicine
Linus Pauling,Chemistry,Chemistry
Linus Pauling,North America,Chemistry
Ernest Hemingway,Literature,Literature
Ernest Hemingway,,Literature
Frederick C. Robbins,Medicine,Medicine
Frederick C. Robbins,North America,Medicine
Walther Bothe,Physics,Physics
Walther Bothe,Europe,Physics
Hugo Theorell,Medicine,Medicine
Hugo Theorell,Europe,Medicine
Halldór Laxness,Literature,Literature
Halldór Laxness,,Literature
Polykarp Kusch,Physics,Physics
Polykarp Kusch,North America,Physics
Willis E. Lamb,Physics,Physics
Willis E. Lamb,North America,Physics
Vincent du Vigneaud,Chemistry,Chemistry
Vincent du Vigneaud,North America,Chemistry
Dickinson W. Richards,Medicine,Medicine
Dickinson W. Richards,North America,Medicine
Walter H. Brattain,Physics,Physics
Walter H. Brattain,North America,Physics
Werner Forssmann,Medicine,Medicine
Werner Forssmann,Europe,Medicine
André F. Cournand,Medicine,Medicine
André F. Cournand,North America,Medicine
Nikolay Semenov,Chemistry,Chemistry
Nikolay Semenov,Russia,Chemistry
John Bardeen,Physics,Physics
John Bardeen,North America,Physics
William B. Shockley,Physics,Physics
William B. Shockley,North America,Physics
Sir Cyril Hinshelwood,Chemistry,Chemistry
Sir Cyril Hinshelwood,Europe,Chemistry
Juan Ramón Jiménez,Literature,Literature
Juan Ramón Jiménez,,Literature
Lester Bowles Pearson,Peace,Peace
Lester Bowles Pearson,,Peace
Chen Ning Yang,Physics,Physics
Chen Ning Yang,North America,Physics
Lord Todd,Chemistry,Chemistry
Lord Todd,Europe,Chemistry
Albert Camus,Literature,Literature
Albert Camus,,Literature
Daniel Bovet,Medicine,Medicine
Daniel Bovet,Europe,Medicine
Tsung-Dao Lee,Physics,Physics
Tsung-Dao Lee,North America,Physics
Pavel A. Cherenkov,Physics,Physics
Pavel A. Cherenkov,Russia,Physics
Boris Pasternak,Literature,Literature
Boris Pasternak,,Literature
George Beadle,Medicine,Medicine
George Beadle,North America,Medicine
Frederick Sanger,Chemistry,Chemistry
Frederick Sanger,Europe,Chemistry
Igor Y. Tamm,Physics,Physics
Igor Y. Tamm,Russia,Physics
Georges Pire,Peace,Peace
Georges Pire,,Peace
Il´ja M. Frank,Physics,Physics
Il´ja M. Frank,Russia,Physics
Edward Tatum,Medicine,Medicine
Edward Tatum,North America,Medicine
Joshua Lederberg,Medicine,Medicine
Joshua Lederberg,North America,Medicine
Emilio Segrè,Physics,Physics
Emilio Segrè,North America,Physics
Salvatore Quasimodo,Literature,Literature
Salvatore Quasimodo,,Literature
Jaroslav Heyrovsky,Chemistry,Chemistry
Jaroslav Heyrovsky,Europe,Chemistry
Philip Noel-Baker,Peace,Peace
Philip Noel-Baker,,Peace
Owen Chamberlain,Physics,Physics
Owen Chamberlain,North America,Physics
Arthur Kornberg,Medicine,Medicine
Arthur Kornberg,North America,Medicine
Severo Ochoa,Medicine,Medicine
Severo Ochoa,North America,Medicine
Donald A. Glaser,Physics,Physics
Donald A. Glaser,North America,Physics
Peter Medawar,Medicine,Medicine
Peter Medawar,Europe,Medicine
Sir Frank Macfarlane Burnet,Medicine,Medicine
Sir Frank Macfarlane Burnet,Australia,Medicine
Willard F. Libby,Chemistry,Chemistry
Willard F. Libby,North America,Chemistry
Albert Luthuli,Peace,Peace
Albert Luthuli,,Peace
Saint-John Perse,Literature,Literature
Saint-John Perse,,Literature
Ivo Andric,Literature,Literature
Ivo Andric,,Literature
Dag Hammarskjöld,Peace,Peace
Dag Hammarskjöld,,Peace
Georg von Békésy,Medicine,Medicine
Georg von Békésy,North America,Medicine
Rudolf Mössbauer,Physics,Physics
Rudolf Mössbauer,Europe,Physics
Robert Hofstadter,Physics,Physics
Robert Hofstadter,North America,Physics
Melvin Calvin,Chemistry,Chemistry
