year,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,United Kingdom,Serbia,TÃ¼rkiye
2012,214921.96,63542.55,136714.18,238889.49,1292589.66,26729.3,499409.0,196597.1,881475.51,1538129.22,62920.24,769774.26,12308.66,35832.19,75695.59,16614.63,97720.59,1691.35,502856.76,175721.77,549470.36,167705.4,354923.71,44932.78,40146.66,100545.13,130432.72,14260.64,103005.71,162248.0,999682.34,113916.4,1162115.98
2013,213346.1,65577.86,137252.96,237979.29,1314232.13,28201.25,503944.87,192648.3,863158.21,1536389.29,60098.99,770180.11,11585.96,37261.03,74459.36,17038.03,99323.37,1657.02,513444.45,176757.0,550943.06,165340.2,346002.36,44548.14,39375.76,100621.22,131156.86,13903.94,104067.07,160674.0,1000858.17,112693.1,1212837.83
2014,214168.36,70579.02,139797.25,238634.07,1330338.33,28671.64,500216.16,185975.63,883687.47,1567554.9,59346.06,759054.5,11369.49,38597.43,76641.81,17447.84,102534.96,1631.17,511174.45,177743.6,553388.58,165754.3,352267.19,45465.39,38866.44,102272.65,131010.87,14831.63,104803.93,161932.0,1020181.49,110592.42,1228688.01
2015,217419.63,72552.95,143179.77,236816.89,1332915.06,26099.56,518428.49,182057.38,914269.78,1571810.43,58991.73,763715.6,11427.23,38758.43,77037.51,17812.17,105505.0,1607.2,529337.69,178324.15,557137.81,168181.3,356663.12,46886.37,39409.33,103605.89,130502.04,14974.97,106413.86,161398.0,1024988.54,0.0,1214606.6
2016,218374.18,72702.32,132188.0,238236.38,1324509.88,25740.99,533253.02,178770.49,925995.09,1555715.47,60711.08,775275.54,12167.38,38937.14,74082.13,18371.69,107322.71,1587.62,542490.12,179140.23,548721.31,171434.4,352424.84,47713.54,38018.63,103222.1,130397.81,15188.2,108522.49,160095.0,1024651.62,0.0,1219136.82
2017,214560.0,72671.98,133602.79,238290.4,1317566.53,26471.25,550645.39,178072.88,940973.88,1541619.03,58828.76,777024.98,12555.0,39367.0,71683.1,18483.64,107009.85,1536.88,541441.2,180034.56,565383.78,175146.9,339785.36,46795.85,38162.71,102501.47,131656.4,14866.24,108160.82,158478.0,1028570.02,0.0,1353287.57
2018,215639.79,72367.11,138548.44,240282.14,1298081.66,26760.8,563477.78,179114.41,947467.68,1524519.79,55293.13,770533.47,12774.63,38099.65,70278.21,18508.34,109000.65,1544.82,520101.18,177400.5,572261.08,177257.9,335255.98,46541.31,38265.44,101650.45,131137.28,14422.04,107440.92,158191.0,1016566.52,0.0,1456556.55
2019,215010.25,71625.05,137963.79,234750.11,1286769.91,27281.0,548839.0,177014.62,947957.76,1498352.51,55276.22,768913.5,13152.93,38403.46,68728.65,18164.02,109161.34,1550.49,523375.72,174752.36,572190.53,178222.8,333500.44,46992.37,37099.34,101304.31,129230.63,14202.78,104532.15,155485.0,1002976.68,0.0,1503724.09
2020,214965.02,73254.68,137927.64,236093.77,1271203.03,27404.58,555497.71,176260.71,963208.84,1480502.03,53704.3,776205.48,14256.54,38346.17,67314.03,18661.78,110432.38,1582.37,520117.59,173427.27,582846.62,178677.6,336691.19,46941.04,36940.28,101277.5,128381.18,13950.87,104082.72,0.0,0.0,0.0,1560929.75
2021,214970.63,73715.26,141298.29,236093.54,1242538.13,27269.0,574506.91,176544.82,975903.49,1480516.23,51492.02,763089.31,14323.27,37926.46,66239.62,18237.49,110509.23,1545.52,514081.1,174290.16,582882.46,181848.28,333134.05,47019.06,36371.73,100941.44,128381.09,13843.7,106127.15,0.0,0.0,0.0,0.0
